,importance
landnbr_planned_building_area_nearby_sectors_roll6_max,1110744431.0
search_fang_jia_tiao_kong_pc_all_lag12,1110256792.0
search_shou_fu_yi_dong_all_lag3,1107491529.5
search_fang_jia_xia_die_yi_dong_all_diff1,1094685661.0
nhnbr_amount_new_house_transactions_nearby_sectors_diff1,1086721028.5
search_xian_shou_yi_dong_all_diff3,1075130003.0
nhnbr_price_new_house_transactions_nearby_sectors_pctchg3,1056641476.5
search_er_shou_fang_shi_chang_pc_all_lag2,1045601200.0
search_fang_jia_tiao_kong_pc_all_lag3,1041083757.0
nh_po_amt_ratio,1039080864.0
search_fang_di_chan_kai_fa_pc_all,1037612192.0
search_dai_kuan_li_lv_yi_dong_all_pctchg1,1011131740.0
search_peng_hu_qu_pc_all_pctchg12,1007238660.0
search_luo_hu_yi_dong_all_lag3,1006250622.0
ponbr_price_pre_owned_house_transactions_nearby_sectors_pctchg3,1003505377.0
search_peng_hu_qu_gai_zao_pc_all,995734325.0
po_price_pre_owned_house_transactions_pctchg3,980863418.0
nh_amount_new_house_transactions_pctchg12,980610205.5
search_fang_jia_zou_shi_pc_all_pctchg3,964441264.0
land_planned_building_area_roll6_max,964295842.5
search_fang_jia_tiao_kong_yi_dong_all_diff12,949883998.5
ponbr_area_pre_owned_house_transactions_nearby_sectors_ewm_alpha0.5,939581660.0
nh_area_per_unit_new_house_transactions_diff3,938317269.5
nh_area_per_unit_new_house_transactions_diff1,928580460.0
search_qu_ku_cun_pc_all,926484303.0
nh_total_price_per_unit_new_house_transactions_lag12,924764146.5
land_planned_building_area_diff1,921466083.0
search_fang_di_chan_shui_pc_all_pctchg12,911048091.5
search_fang_di_chan_shui_yi_dong_all_lag6,902235871.0
search_shou_fu_pc_all_lag1,895743348.5
nhnbr_period_new_house_sell_through_nearby_sectors_diff12,880125045.0
search_peng_hu_qu_gai_zao_yi_dong_all_lag12,872543306.0
search_xian_gou_pc_all_pctchg3,868293806.5
search_qu_xiao_xian_gou_yi_dong_all_diff1,864260798.0
search_li_lv_shang_diao_yi_dong_all_lag2,850759583.0
nhnbr_price_new_house_transactions_nearby_sectors_roll3_std,837627547.5
search_qu_ku_cun_pc_all_lag3,834848612.0
nh_area_new_house_transactions_lag12,827680443.0
search_shui_fei_yi_dong_all_lag6,826093395.0
search_er_shou_fang_shi_chang_pc_all_pctchg3,820581403.0
search_shui_fei_yi_dong_all_lag12,814825024.0
search_dai_kuan_li_lv_yi_dong_all_lag1,812318163.0
search_qu_xiao_xian_gou_pc_all_diff1,811300734.0
nhnbr_area_new_house_transactions_nearby_sectors_ewm_alpha0.5,801000120.5
macro_employed_population_yoy_lag6,800247488.0
search_qu_ku_cun_pc_all_lag12,794998439.5
land_transaction_amount_roll6_max,784091286.5
search_qu_xiao_xian_gou_yi_dong_all_diff3,781074145.5
search_xian_shou_pc_all_diff1,773976257.0
ponbr_area_pre_owned_house_transactions_nearby_sectors_roll6_std,767953205.0
search_fang_di_chan_kai_fa_pc_all_lag3,767135692.0
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors_diff12,762196684.0
search_xue_qu_fang_yi_dong_all_lag3,741439278.5
nhnbr_area_new_house_available_for_sale_nearby_sectors_diff3,734729131.5
search_peng_hu_qu_gai_zao_yi_dong_all_diff3,730439954.0
search_fang_dai_yi_dong_all_lag2,707732139.0
search_rong_zi_yi_dong_all_pctchg3,695705753.5
search_luo_hu_yi_dong_all_lag12,695597130.0
landnbr_num_land_transactions_nearby_sectors_pctchg12,689972480.0
nhnbr_period_new_house_sell_through_nearby_sectors_diff3,688835259.5
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors_roll3_std,684276187.5
search_gong_ji_jin_pc_all_lag3,680492614.0
search_dai_kuan_li_lv_pc_all_pctchg12,670872522.0
nhnbr_area_new_house_available_for_sale_nearby_sectors_pctchg1,668062397.0
search_xian_shou_yi_dong_all_lag3,665880000.0
po_price_pre_owned_house_transactions_roll3_std,664709529.0
nh_land_lead_ratio_lag3,659410170.5
po_amount_pre_owned_house_transactions_lag12,656185858.5
search_fang_jia_xia_die_yi_dong_all_lag6,652685667.0
nh_area_per_unit_new_house_transactions,651175341.0
search_xian_shou_pc_all_pctchg1,648173330.0
nh_area_per_unit_new_house_transactions_lag6,645399750.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_roll3_std,638472235.5
search_rong_zi_yi_dong_all_lag12,628237693.0
nhnbr_period_new_house_sell_through_nearby_sectors_diff1,623037749.5
po_price_pre_owned_house_transactions_diff3,616759558.5
search_gong_ji_jin_yi_dong_all_lag2,616530329.0
search_li_lv_shang_diao_pc_all_pctchg1,616053645.0
search_mai_fang_yi_dong_all_diff1,614713331.0
search_peng_hu_qu_pc_all_pctchg1,604048831.0
search_fang_di_chan_shui_pc_all_lag12,603514558.0
landnbr_transaction_amount_nearby_sectors_ewm_alpha0.5,603169629.0
search_peng_hu_qu_gai_zao_yi_dong_all_lag2,598092721.0
poi_shop_per_capita,596517808.5
search_fang_jia_tiao_kong_yi_dong_all_pctchg3,596093072.5
nh_total_price_per_unit_new_house_transactions_roll6_std,576517921.5
po_price_pre_owned_house_transactions_diff12,576105384.5
search_qi_shui_yi_dong_all_lag1,573212480.0
po_amount_pre_owned_house_transactions_diff3,570641536.0
search_luo_hu_yi_dong_all_lag1,567708830.0
nhnbr_amount_new_house_transactions_nearby_sectors_roll3_std,560949647.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_lag6,559304207.5
search_xian_gou_pc_all_pctchg1,555531311.0
landnbr_num_land_transactions_nearby_sectors_pctchg1,549374385.0
poi_pca_component_4,547573000.0
nhnbr_amount_new_house_transactions_nearby_sectors_pctchg12,545426213.0
search_an_zhi_yi_dong_all_lag1,544722521.0
search_er_shou_fang_shi_chang_yi_dong_all_pctchg3,541603915.5
search_qi_shui_pc_all_lag1,541561164.0
nh_area_per_unit_new_house_transactions_roll6_min,540292184.5
search_fang_wu_zhuang_xiu_pc_all_lag12,539443113.0
nhnbr_area_new_house_transactions_nearby_sectors_lag6,539054356.0
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors_ewm_alpha0.5,538358750.5
search_xue_qu_fang_yi_dong_all_pctchg3,532057449.0
nh_price_new_house_transactions_pctchg3,531899371.5
search_fang_jia_tiao_kong_pc_all_diff3,519604463.5
nh_area_per_unit_new_house_transactions_pctchg1,519360079.0
search_peng_hu_qu_pc_all_lag1,516427496.0
search_fang_jia_xia_die_yi_dong_all_diff12,511757574.5
landnbr_planned_building_area_nearby_sectors_pctchg12,507170323.0
search_gou_fang_yi_dong_all_lag6,506092808.5
search_qu_xiao_xian_gou_yi_dong_all_pctchg3,505528230.5
search_peng_hu_qu_yi_dong_all_diff1,501736267.0
nhnbr_period_new_house_sell_through_nearby_sectors_lag6,494571495.5
search_gou_fang_yi_dong_all_diff3,491952481.5
landnbr_num_land_transactions_nearby_sectors_ewm_alpha0.5,491000900.0
search_mai_fang_yi_dong_all_lag2,488694916.0
search_xian_gou_yi_dong_all_lag6,485508019.0
search_fang_dai_pc_all_lag3,483477604.0
search_fang_di_chan_shui_yi_dong_all_diff1,466962228.5
poi_catering_share,466188825.5
search_gou_fang_pc_all_lag6,465347593.5
search_fang_dai_yi_dong_all_pctchg1,457773442.0
ponbr_amount_pre_owned_house_transactions_nearby_sectors_roll6_std,455871808.5
search_qu_ku_cun_pc_all_pctchg12,454952077.5
landnbr_planned_building_area_nearby_sectors_lag3,449851929.0
ponbr_amount_pre_owned_house_transactions_nearby_sectors_pctchg12,444084196.0
search_fang_jia_tiao_kong_yi_dong_all_lag1,441079997.5
search_peng_hu_qu_yi_dong_all_lag6,439543814.0
search_fang_dai_pc_all_lag1,438451831.0
search_fang_dai_pc_all_pctchg3,433884971.0
search_li_lv_shang_diao_pc_all_pctchg3,433583794.0
nhnbr_area_new_house_available_for_sale_nearby_sectors_roll3_std,425558384.0
land_transaction_amount_lag6,422844767.0
search_gong_ji_jin_pc_all_pctchg12,421790274.0
search_fang_jia_yi_dong_all_lag2,420529696.0
search_er_shou_fang_shi_chang_yi_dong_all_pctchg1,414281856.0
nh_price_new_house_transactions_diff12,413766361.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_lag3,408913296.5
ponbr_amount_pre_owned_house_transactions_nearby_sectors_pctchg1,403588980.5
